section,subsection,element,Value,,
Overview,Authorship,Study title,Climate change facilitates fungal pathogen expansion while driving endemic host range contractions in a tropical biodiversity hotspot,,
Overview,Authorship,Author names,"Underwood, EL., Brown, KA., Rönnfeldt, A., Mulligan, M., Walford, N., Allgayer, R.",,
Overview,Authorship,Contact ,elmah2707@gmail.com,,
Overview,Authorship,Study link,https://www.researchsquare.com/article/rs-8741587/v1,,
Overview,Model objective,Model objective,forecast,,
Overview,Model objective,Target output,Suitable vs. unsuitable habitat,,
Overview,Focal Taxon,Focal Taxon,Calophyllum paniculatum,,
Overview,Location,Location,Madagascar,,
Overview,Scale of Analysis,Spatial extent,"43.10, 50.61, -25.62, -11.94",,
Overview,Scale of Analysis,Spatial resolution,1km,,
Overview,Scale of Analysis,Temporal extent,Current (2010) - 2100,,
Overview,Scale of Analysis,Temporal resolution,30 years,,
Overview,Scale of Analysis,Boundary,natural,,
Overview,Biodiversity data,Observation type,citizen science; field survey,,
Overview,Biodiversity data,Response data type,presence-only,,
Overview,Predictors,Predictor types,climatic; habitat; topographic,,
Overview,Hypotheses,Hypotheses,"H1: The future distribution of C. paniculatum will be more limited than the wilt pathogen distribution; H2: Future climate change will lead to southward latitudinal range shifts, and upslope altitudinal shifts in both C. paniculatum and pathogen distributions. ",,
Overview,Assumptions,Model assumptions,climate in equilibrium,,
Overview,Algorithms,Modelling techniques,"Maxent, Boosted Regression Trees, Random Forest",,
Overview,Algorithms,Model complexity,Initial models were computed with 4 and 5 algorithms but ensembles with 3 algorithms performed best,,
Overview,Algorithms,Model averaging,Ensemble (weighted mean),,
Overview,Workflow,Model workflow,Model fitting using sdm package using n=10 replicates (bootstrapping) and a weighting of equal presence to background points. 5-fold cross validation using an 80:20 training/testing split ratio. Top performing trained model built using Malagasy occurrence data used for predictions (forecasting) to future climates in Madagascar.,,
Overview,Software,Software,"R version 4.3.2 (R Core TEAM, 2023): rgbif version 3.8.0 (Chamberlain S, 2017, Chamberlain and Boettiger, 2017), terra version 1.8-21 (Hijmans, 2025), readr version 2.1.4 (Wickham H, 2023), doParallel version 1.0.17 (Weston, 2022b), foreach version 1.5.2 (Weston, 2022a), gdalUtilities version 1.2.5 (O'brien, 2023), future.apply (Bengtsson, 2020), data.table version 1.15.4 (Barrett et al., 2024), corrplot version 0.92 (Wei and Simko, 2021b), sdm (Naimi and Araújo, 2016), dplyr version 1.1.4 (Wickham et al., 2023), ggplot2 version 3.3.3 (Wickham, 2016), viridis version 0.6.5 (Garnier et al., 2021), ggtext version 0.1.2 (Wilke, 2022), patchwork version 1.3.0 (Pedersen, 2024), scales version 1.3.0 (Pedersen, 2023), gridExtra version 2.3 (Auguie, 2017), and plotly (Sievert, 2020).",,
Overview,Software,Code availability,https://github.com/anon-017/anon-fungal-host-sdm,,
Overview,Software,Data availability,"All data used in this study are derived from publicly available repositories and referenced in the manuscript accordingly:
1.	Global portals: GBIF, CHELSA, ForestAtRisk 
2.	Publicly available survey data from published peer-reviewed articles:
a.	Ramananjato, V., Razafindratsima, Onja. 2021. Data from: Structure of microhabitats used by Microcebus rufus across a heterogeneous landscape [Dataset]. https://doi.org/10.5061/dryad.2280gb5rs
b.	Armstrong, A. H., Shugart, H. H. & Fatoyinbo, T. E. 2011. Characterization of Community Composition and Forest Structure in a Madagascar Lowland Rainforest. Tropical Conservation Science, 4, 428-444. https://doi.org/10.1177/194008291100400406
c.	Wright, P. C., Otero Jimenez, B., Rakotonirina, P., Andriananoely, D. H., Shea, A., Ratalata, B. & Razafimahaimodison, J. C. 2020. The Progressive Spread of the Vascular Wilt Like Pathogen of Calophyllum Detected in Ranomafana National Park, Madagascar. Frontiers in Forests and Global Change. https://doi.org/10.3389/ffgc.2020.00091. ",,
Data,Biodiversity data,Taxon names,Calophyllum paniculatum P.F. Stevens,,
Data,Biodiversity data,Taxonomic reference system,Species,,
Data,Biodiversity data,Ecological level,species,,
